App ID,Name,Price,Genres,User Reviews,Positive Reviews,Negative Reviews,Owners,Average Playtime,Median Playtime,Developer,Publisher
2596420,Arranger: A Role-Puzzling Adventure,1999.0,"Adventure, Indie, RPG",212,198,14,0 .. 20000,0,0,Furniture &amp; Mattress LLC,Furniture &amp;amp; Mattress LLC
2596390,Fantasy Grounds - Pathfinder RPG - Pathfinder Companion: Champions of Balance,1299.0,"Indie, RPG, Strategy",0,0,0,0 .. 20000,0,0,"SmiteWorks USA, LLC",
2596410,Fantasy Grounds - Pathfinder 2 RPG - Sky King's Tomb AP 2: Cult of the Cave Worm,2699.0,"Indie, RPG, Strategy",0,0,0,0 .. 20000,0,0,"SmiteWorks USA, LLC",
2596460,A Fool's Art Gallery,799.0,"Adventure, Casual, Simulation",10,10,0,0 .. 20000,0,0,Reflection Frequency,Reflection Frequency
2596490,Fantasy Grounds - Necessary Evil: Invasion (Revised Edition),1499.0,"Indie, RPG, Strategy",0,0,0,0 .. 20000,0,0,"SmiteWorks USA, LLC",
2596480,BEASTWATCH: Meat & Mayhem,1199.0,Action,28,26,2,0 .. 20000,0,0,Somnambulist Games,Somnambulist Games
2596450,Fantasy Grounds - Dune: Time Becomes a Narrow Door,599.0,"Indie, RPG, Strategy",0,0,0,0 .. 20000,0,0,"SmiteWorks USA, LLC",
2595610,My Time at Sandrock - Summer Heat Collection 3,499.0,"Adventure, Casual, Indie, RPG, Simulation",0,0,0,0 .. 20000,0,0,Pathea Games,"Pathea Game, Focus Entertainment, PM Studios, Inc., DMM Game"
2595520,Jerry Wanker - Digital Art Collection,239.0,Adventure,0,0,0,0 .. 20000,0,0,Ktulhu Solutions,Ktulhu Solutions
2595530,Masquerade,0.0,,0,0,0,0 .. 20000,0,0,,
2595540,UBERSLAUGHTER,999.0,"Action, Indie, Simulation",36,36,0,0 .. 20000,0,0,BillyBobCletus,BillyBobCletus
2595620,My Time at Sandrock - Starlight Collection 1,499.0,"Adventure, Casual, Indie, RPG, Simulation",0,0,0,0 .. 20000,0,0,Pathea Games,"Pathea Game, Focus Entertainment"
2595600,My Time at Sandrock - Summer Heat Collection 2,499.0,"Adventure, Casual, Indie, RPG, Simulation",0,0,0,0 .. 20000,0,0,Pathea Games,"Pathea Games, Focus Entertainmen, PM Studios, Inc, DMM Games"
2595640,Move The Chains - Season 1,1199.0,"Adventure, Indie, Early Access",0,0,0,0 .. 20000,0,0,MissFortune,MissFortune
2595650,Night of Full Moon - Echoes of NatureClassic,199.0,"Adventure, Indie, Strategy",0,0,0,0 .. 20000,0,0,Giant Games,Giant Games
2595670,Night of Full Moon - WitcherMirror,199.0,"Adventure, Indie, Strategy",0,0,0,0 .. 20000,0,0,Giant Games,Giant Games
2595680,Night of Full Moon - WolfMirror,199.0,"Adventure, Indie, Strategy",0,0,0,0 .. 20000,0,0,Giant Games,Giant Games
2595700,IDILI,999.0,"Indie, Early Access",22,17,5,0 .. 20000,0,0,Megalith Interactive Studios,Megalith Interactive Studios
2595770,PentaZorg,0.0,,0,0,0,0 .. 20000,0,0,,
2595760,My Time at Sandrock - Cute Critter Furniture Pack,319.0,"Adventure, Casual, Indie, RPG, Simulation",0,0,0,0 .. 20000,0,0,Pathea Games,"Pathea Games, Focus Entertainment, PM Studios, Inc., DMM Games"
2595750,My Time at Sandrock - Far East Furniture Pack,399.0,"Adventure, Casual, Indie, RPG, Simulation",0,0,0,0 .. 20000,0,0,Pathea Games,"Pathea Games, Focus Entertainment, PM Studios, Inc., DMM Games"
2595740,My Time at Sandrock - Interior Decorator Pack,319.0,"Adventure, Casual, Indie, RPG, Simulation",0,0,0,0 .. 20000,0,0,Pathea Games,"Pathea Games, Focus Entertainment, PM Studios, Inc., DMM Games"
2595720,My Time at Sandrock - StarlightCollection3,399.0,"Adventure, Casual, Indie, RPG, Simulation",0,0,0,0 .. 20000,0,0,Pathea Games,"Pathea Games, Focus Entertainment"
2595690,Night of Full Moon - WitchWishing,199.0,"Adventure, Indie, Strategy",0,0,0,0 .. 20000,0,0,Giant Games,Giant Games
2595860,Hitler is my crush,99.0,"Action, Adventure, Casual, Indie",921,848,73,20000 .. 50000,0,0,DarkLight Studio,DarkLight Studio
2595710,My Time at Sandrock - Starlight Collection 2,399.0,"Adventure, Casual, Indie, RPG, Simulation",0,0,0,0 .. 20000,0,0,Pathea Games,"Pathea Games, Focus Entertainment"
2595850,Stronghold Siege,0.0,,0,0,0,0 .. 20000,0,0,,
2595900,Monolit,0.0,,0,0,0,0 .. 20000,0,0,,
2595780,Picture Everything: Puzzle Cross Galaxy,499.0,Casual,15,13,2,0 .. 20000,0,0,Spilt Milk Studios Ltd,Spilt Milk Studios Ltd
2595880,Stagelands,0.0,,0,0,0,0 .. 20000,0,0,,
2596470,Ultrazone,79.0,"Action, Adventure, Casual, RPG, Simulation, Sports, Strategy",18,11,7,0 .. 20000,0,0,Gamesforgames,Gamesforgames
2595930,Jigsaw Advent Calendar,1499.0,"Casual, Indie",1,0,1,0 .. 20000,0,0,"Mindscape, Denda Games, Graphium Studio",Mindscape
2595730,My Time at Sandrock - Pet Pack: Lil Gecko,239.0,"Adventure, Casual, Indie, RPG, Simulation",0,0,0,0 .. 20000,0,0,Pathea Games,"Pathea Games, Focus Entertainment, PM Studios, Inc., DMM Games"
2595940,Magical Bakery,1999.0,"Action, Casual, Indie",51,41,10,0 .. 20000,0,0,SUPERLUMEN,SOEDESCO
2595960,,0.0,,0,0,0,0 .. 20000,0,0,,
2595040,Ship's Cat,499.0,"Action, Adventure, Casual, Indie",26,20,6,0 .. 20000,0,0,Caddy Computing,Caddy Computing
2595080,Banana Co.,99.0,"Action, Indie, Strategy",12,11,1,0 .. 20000,0,0,S.G,Faaq
2595000,In Darkness We Hide,0.0,,0,0,0,0 .. 20000,0,0,,
2595030,Final Hour,0.0,,0,0,0,0 .. 20000,0,0,,
2595020,TETHER BRAWL,0.0,,0,0,0,0 .. 20000,0,0,,
2595160,,0.0,,0,0,0,0 .. 20000,0,0,,
2595170,Challenge Tour,4999.0,"Adventure, Racing, Early Access",0,0,0,0 .. 20000,0,0,wu shirong,wu shirong
2595100,HeroBot!,0.0,,0,0,0,0 .. 20000,0,0,,
2595110,,0.0,,0,0,0,0 .. 20000,0,0,,
2595140,"Mysterious Mystery, EP 1: The Duo Dilemma",499.0,"Adventure, Casual, RPG",4,4,0,0 .. 20000,0,0,Walker Sheets,GIGATANK 3000
2595120,Wild Seasons,0.0,,0,0,0,0 .. 20000,0,0,,
2595190,,0.0,,0,0,0,0 .. 20000,0,0,,
2595970,Hot Homework Help,0.0,,0,0,0,0 .. 20000,0,0,,
2595270,2012,0.0,,0,0,0,0 .. 20000,0,0,,
2595290,World of Reinvention,0.0,,0,0,0,0 .. 20000,0,0,,
2595360,Death From Above: Aerorozvidka Skin Supporter Pack,119.0,"Action, Simulation",0,0,0,0 .. 20000,0,0,Rockodile,Lesser Evil
2595300,Forgotten Symphony,0.0,,0,0,0,0 .. 20000,0,0,,
2595370,JJJ,299.0,"Adventure, Indie",4,4,0,20000 .. 50000,0,0,Rotten Apple Games,Rotten Apple Games
2595260,RECUR,0.0,,0,0,0,0 .. 20000,0,0,,
2595230,SGS Battle For: Shanghai,1999.0,Strategy,57,50,7,0 .. 20000,0,0,Strategy Game Studio,Avalon Digital
2595380,Sparkhunt,0.0,,0,0,0,0 .. 20000,0,0,,
2595330,,0.0,,0,0,0,0 .. 20000,0,0,,
2595420,HELL HUNTER - Anti-Nomen,699.0,"Adventure, RPG",2,2,0,0 .. 20000,0,0,Giovanni Debidda (a.k.a. Tenkarider),Audiogames Association
2595410,BLIND QUEST - The Ivy Queen,699.0,"Adventure, RPG",4,0,4,0 .. 20000,0,0,Associazione Audiogames,IV Productions
2595430,HELL HUNTER - Damned Soul,699.0,"Adventure, RPG",1,1,0,0 .. 20000,0,0,Giovanni Debidda (a.k.a. Tenkarider),Associazione Audiogames
2595210,SGS Battle For: Madrid,1999.0,Strategy,6,6,0,0 .. 20000,0,0,Strategy Game Studio,Avalon Digital
2595480,Dreaming with You,0.0,,0,0,0,0 .. 20000,0,0,,
2594490,Project N3T,0.0,,0,0,0,0 .. 20000,0,0,,
2594600,Elder's Grace - Unchained,0.0,,0,0,0,0 .. 20000,0,0,,
2594580,Weird Meese,299.0,"Adventure, Casual",27,27,0,0 .. 20000,0,0,Secret Mollusk,Secret Mollusk
2594540,Motel Manager Simulator,1799.0,"Casual, Simulation",1027,905,122,20000 .. 50000,222,222,Denzone Games,Denzone Games
2594560,Devil Seeds,0.0,"Adventure, Indie, RPG, Strategy, Free To Play",19,17,2,20000 .. 50000,0,0,Trevaz,Trevaz
2594530,Virtual Rides 3 - Northstar,599.0,"Casual, Simulation",0,0,0,0 .. 20000,0,0,Pixelsplit Simulations,Pixelsplit Simulations
2594520,GRWTH,0.0,,0,0,0,0 .. 20000,0,0,,
2594620,Figure Drawing Garden,0.0,,0,0,0,0 .. 20000,0,0,,
2594640,Taora : Beginning,0.0,,0,0,0,0 .. 20000,49,74,,
2594690,Seraphim,499.0,"Action, Adventure, Indie",5,5,0,0 .. 20000,0,0,Luke Rayfield,His-Games
2594610,Red Echo,0.0,,0,0,0,0 .. 20000,0,0,,
2594650,Riding to Bounce City - Cat set A,399.0,"Action, Casual, Indie, Racing, Free To Play",0,0,0,0 .. 20000,0,0,Trigon Fan,Trigon Fan
2594680,Bocks and Clucks: The Music of Chicken Journey,599.0,,0,0,0,0 .. 20000,0,0,loonyware,loonyware
2595470,Guishu,0.0,,0,0,0,0 .. 20000,0,0,,
2595440,wiadectwo poMOCY,0.0,,0,0,0,0 .. 20000,0,0,,
2594760,NARUTO X BORUTO Ultimate Ninja Storm Connections - Ultimate Edition Upgrade Pack,0.0,,0,0,0,0 .. 20000,0,0,,
2594740,Crystal Fortress,0.0,,0,0,0,0 .. 20000,0,0,,
2594870,Lethal Beach,499.0,"Casual, Indie, RPG, Simulation, Early Access",11,4,7,0 .. 20000,0,0,IsSasaLa,IsSasaLa
